age,education_level,gender,stem_interest_score,creativity_score,social_skills_score,analytical_skills_score,problem_solving_score,technical_aptitude_score,communication_score,leadership_potential_score,career_category,specific_career,annual_salary_expectation,work_environment_preference,job_growth_interest,work_life_balance_score,global_mobility_score
28,PhD,Female,35,69,6,78,70,54,57,52,Creative,Graphic Designer,65789,Remote,82,63,73
26,Bachelor's,Female,61,45,59,33,59,49,81,55,Creative,Music Producer,94363,Flexible,79,70,41
31,Professional Degree,Female,41,34,48,37,56,34,48,31,Culinary and Hospitality,Food Scientist,85478,Remote,82,83,50
50,Bachelor's,Female,52,20,74,23,40,74,43,39,Engineering,Electrical Engineer,64199,Remote,88,66,50
47,High School,Female,78,61,36,25,4,71,54,42,Healthcare,Pharmacist,32035,Hybrid,99,21,26
41,Professional Degree,Male,24,83,36,57,57,48,44,51,Arts and Performance,Theatre Director,93664,Hybrid,60,54,55
46,Master's,Male,33,58,43,33,44,37,63,48,Finance and Economics,Financial Planner,19094,Hybrid,78,87,31
50,High School,Male,60,31,30,91,42,30,74,47,Technology,Cybersecurity Analyst,102532,Travel-based,40,19,92
49,Master's,Female,29,28,32,89,91,39,84,4,Creative,Fashion Designer,130193,Remote,72,78,77
41,Master's,Female,36,51,47,46,73,54,84,55,Engineering,Electrical Engineer,82396,Travel-based,73,100,75
27,Professional Degree,Male,53,30,77,43,57,4,45,43,Media and Communication,Copywriter,115549,Remote,79,78,60
47,Bachelor's,Male,58,22,48,49,0,30,91,45,Science,Physicist,44583,Remote,80,58,6
30,PhD,Female,28,76,36,24,51,34,34,49,Creative,Video Game Designer,101757,Hybrid,87,47,17
32,Master's,Male,62,43,12,68,48,53,48,46,Business,Business Intelligence Analyst,122906,Remote,79,63,53
47,Master's,Female,80,18,76,63,60,70,45,62,Technology,Machine Learning Engineer,100951,Travel-based,69,39,22
35,Master's,Female,34,58,41,49,40,34,46,74,Arts and Performance,Stage Designer,77047,Flexible,57,51,47
47,High School,Female,23,48,33,61,53,74,65,52,Education,University Professor,57625,On-site,85,75,67
38,Associate Degree,Male,60,42,33,29,0,36,99,66,Healthcare,Dentist,77199,Remote,62,66,69
32,Bachelor's,Female,35,37,50,51,77,70,20,44,Arts and Performance,Stage Designer,87617,Remote,82,38,0
36,Bachelor's,Female,59,43,29,43,77,57,20,53,Technology,Blockchain Developer,123604,Remote,40,85,65
36,PhD,Male,43,62,33,33,50,32,55,9,Healthcare,Veterinarian,112142,Remote,58,84,0
21,High School,Female,53,68,73,73,33,54,14,52,Creative,Writer/Author,29929,Remote,58,67,42
50,Professional Degree,Male,58,40,47,58,19,20,35,40,Finance and Economics,Actuary,69493,On-site,71,96,51
20,Bachelor's,Non-Binary,32,35,30,75,63,26,25,25,Creative,Animator,97484,Hybrid,50,56,54
33,Associate Degree,Female,49,74,65,21,12,48,37,31,Arts and Performance,Composer,39890,On-site,100,45,62
28,PhD,Male,63,37,20,47,25,53,49,36,Arts and Performance,Dancer,81702,Travel-based,55,63,71
39,PhD,Female,59,44,77,44,80,37,67,46,Finance and Economics,Corporate Treasurer,150062,Hybrid,76,65,9
45,Professional Degree,Female,22,53,46,29,76,53,49,62,Engineering,Electrical Engineer,87705,On-site,73,43,53
45,High School,Female,42,39,38,37,72,49,70,55,Business,Financial Analyst,63939,On-site,52,43,20
45,Bachelor's,Female,76,52,69,39,37,65,53,65,Media and Communication,Media Strategist,78528,Remote,76,61,42
37,Bachelor's,Female,31,48,20,43,32,0,94,35,Creative,Music Producer,49840,Hybrid,41,41,82
33,PhD,Female,40,37,32,46,83,18,67,81,Science,Forensic Scientist,81341,Hybrid,36,47,58
47,Bachelor's,Female,51,40,20,60,53,62,61,34,Healthcare,Nutritionist,79685,Hybrid,73,0,48
50,Bachelor's,Female,49,64,58,22,24,73,32,57,Healthcare,Psychologist,92423,Hybrid,64,40,65
42,Bachelor's,Male,55,36,50,63,72,47,86,35,Arts and Performance,Opera Singer,84701,Travel-based,70,29,22
36,Bachelor's,Male,37,95,80,27,48,51,64,20,Engineering,Robotics Engineer,130123,On-site,57,26,26
43,PhD,Female,62,46,67,25,41,6,52,34,Media and Communication,Public Relations Specialist,109581,On-site,83,100,51
34,High School,Male,70,51,60,97,54,39,36,48,Creative,Graphic Designer,25040,On-site,25,62,51
25,High School,Prefer Not to Say,51,51,59,57,40,30,60,55,Media and Communication,Content Creator,113711,Hybrid,86,38,62
45,Associate Degree,Prefer Not to Say,35,67,47,91,68,59,84,40,Science,Chemical Engineer,109396,Hybrid,73,71,95
32,Bachelor's,Male,31,44,34,45,48,70,42,38,Healthcare,Psychiatrist,77697,On-site,82,78,64
32,Bachelor's,Female,46,81,47,42,50,11,47,55,Engineering,Automotive Engineer,98137,Hybrid,77,100,52
50,Master's,Male,70,21,75,31,37,24,86,74,Culinary and Hospitality,Nutritional Consultant,105722,Hybrid,64,85,71
37,Master's,Male,40,33,37,97,42,70,92,66,Social Sciences,Sociologist,88566,Travel-based,100,44,35
49,Bachelor's,Prefer Not to Say,61,46,58,54,54,32,32,57,Culinary and Hospitality,Nutritional Consultant,85889,Remote,77,37,37
46,Bachelor's,Male,25,25,76,84,29,33,61,51,Media and Communication,Technical Writer,106591,Travel-based,65,61,34
32,Bachelor's,Male,27,66,43,49,74,29,48,19,Social Sciences,Community Development Manager,38758,Remote,75,50,76
50,High School,Female,61,38,28,11,81,42,14,30,Engineering,Electrical Engineer,156651,Travel-based,88,38,40
40,Associate Degree,Female,74,87,61,79,37,33,29,56,Engineering,Software Engineering Manager,70190,Remote,87,7,76
21,Bachelor's,Prefer Not to Say,72,78,52,61,29,51,69,44,Creative,Fashion Designer,75140,On-site,32,91,14
38,Bachelor's,Male,46,46,65,44,100,66,51,37,Creative,Interior Designer,69204,Travel-based,90,42,59
34,Professional Degree,Male,48,52,47,56,91,61,58,66,Business,Business Intelligence Analyst,-5572,On-site,29,58,31
42,Bachelor's,Male,57,47,97,49,3,65,73,64,Media and Communication,Broadcast Journalist,87841,On-site,53,84,15
40,High School,Male,80,43,63,32,50,40,86,28,Healthcare,Medical Researcher,26651,Travel-based,79,62,77
36,Bachelor's,Female,36,74,84,63,44,21,54,47,Engineering,Aerospace Engineer,67455,Flexible,71,58,40
23,Master's,Male,71,35,52,44,63,62,60,27,Social Sciences,Social Worker,74743,Travel-based,91,56,82
35,PhD,Female,44,54,33,68,33,61,72,59,Creative,Interior Designer,62974,Hybrid,66,49,54
30,High School,Male,35,63,70,71,55,79,36,76,Arts and Performance,Sound Engineer,91692,Remote,91,78,51
42,Bachelor's,Female,55,41,32,52,27,65,15,56,Education,Educational Psychologist,76704,Travel-based,12,54,41
31,Professional Degree,Male,33,33,100,22,58,34,32,23,Culinary and Hospitality,Food Scientist,66392,Remote,88,83,74
25,Master's,Female,42,64,30,35,50,51,28,95,Education,Museum Educator,102876,On-site,54,43,69
40,Bachelor's,Female,33,51,66,39,58,38,54,52,Media and Communication,Content Creator,108427,On-site,100,53,13
36,Master's,Male,38,54,73,76,68,59,64,52,Healthcare,Doctor/Physician,255312,Flexible,76,41,42
20,Master's,Female,60,10,58,73,68,32,62,64,Education,Corporate Trainer,115784,Remote,61,94,57
26,Professional Degree,Male,67,68,37,26,52,51,55,68,Education,Curriculum Developer,55141,On-site,55,81,50
29,Associate Degree,Female,48,40,45,51,37,56,87,47,Healthcare,Doctor/Physician,241147,Remote,67,46,56
28,Bachelor's,Female,29,32,37,29,76,59,69,23,Education,Special Education Specialist,134581,Remote,55,54,58
22,High School,Female,54,37,84,61,44,44,47,14,Education,Curriculum Developer,103983,On-site,52,61,40
42,Bachelor's,Female,61,53,75,12,59,49,49,30,Arts and Performance,Sound Engineer,108643,On-site,100,32,68
50,Bachelor's,Male,19,47,55,69,79,29,39,77,Technology,Blockchain Developer,98133,Flexible,100,27,28
20,High School,Male,51,61,79,59,13,24,77,59,Education,Curriculum Developer,94215,Flexible,20,37,60
20,Bachelor's,Female,56,91,55,1,18,63,65,46,Engineering,Robotics Engineer,118146,Hybrid,84,50,66
25,Master's,Male,68,43,38,37,50,61,10,35,Business,Business Intelligence Analyst,58999,On-site,63,51,71
43,Bachelor's,Male,51,81,47,88,91,59,58,61,Engineering,Structural Engineer,120062,Flexible,80,76,52
49,Bachelor's,Female,21,54,70,27,59,62,85,43,Creative,Film Director,80775,Flexible,100,64,39
35,PhD,Male,36,46,40,41,39,40,26,51,Technology,Data Scientist,138140,Flexible,78,40,73
39,Associate Degree,Female,13,45,84,34,95,61,60,55,Healthcare,Nurse Practitioner,84442,Travel-based,61,81,72
21,Master's,Male,66,51,33,38,49,30,51,18,Finance and Economics,Financial Planner,91011,Hybrid,50,49,27
29,Bachelor's,Female,95,67,62,76,60,22,24,0,Engineering,Electrical Engineer,67887,Remote,64,64,29
29,Bachelor's,Female,49,44,42,19,55,94,56,95,Media and Communication,Copywriter,84404,Hybrid,67,49,45
47,Bachelor's,Male,6,41,83,40,69,62,49,56,Education,Teacher,81299,On-site,58,58,7
21,Professional Degree,Non-Binary,58,56,70,45,67,50,57,59,Engineering,Civil Engineer,88117,Flexible,65,33,58
36,Master's,Male,100,12,47,66,25,57,56,18,Engineering,Automotive Engineer,37280,Hybrid,61,48,86
33,Master's,Male,50,42,52,49,64,67,59,55,Science,Biologist,130920,Flexible,38,29,52
22,Professional Degree,Male,80,20,48,39,79,56,66,51,Finance and Economics,Cryptocurrency Analyst,95307,Flexible,95,100,35
50,Associate Degree,Male,45,9,42,85,35,56,44,49,Media and Communication,Podcast Producer,146258,Travel-based,90,86,55
36,Bachelor's,Female,48,57,25,29,65,68,24,67,Education,Educational Psychologist,75562,Travel-based,88,56,33
41,Associate Degree,Female,56,58,27,61,41,90,42,95,Culinary and Hospitality,Pastry Chef,76171,Flexible,45,57,48
48,High School,Male,52,63,82,47,48,53,24,13,Social Sciences,Cultural Researcher,75221,Flexible,86,30,75
32,High School,Female,18,67,32,62,68,49,59,22,Technology,Software Engineer,153437,Remote,89,100,59
34,Master's,Female,52,72,43,58,59,35,59,16,Healthcare,Psychiatrist,112172,On-site,100,78,81
27,Professional Degree,Female,46,53,53,41,32,85,33,83,Healthcare,Physical Therapist,101290,Flexible,100,70,54
20,Bachelor's,Female,57,53,54,69,38,27,22,32,Healthcare,Psychiatrist,111500,Travel-based,61,74,60
31,Bachelor's,Male,83,70,65,14,89,48,53,59,Creative,Art Director,89351,Hybrid,83,63,47
43,Master's,Female,74,28,39,67,19,53,34,61,Business,Product Manager,76287,On-site,75,43,43
45,Bachelor's,Female,71,54,28,100,48,55,55,57,Culinary and Hospitality,Hospitality Manager,139645,Hybrid,30,43,59
35,Bachelor's,Male,28,70,73,47,51,32,3,45,Finance and Economics,Securities Trader,-13357,Hybrid,35,56,51
20,Professional Degree,Male,52,62,27,44,38,91,42,41,Culinary and Hospitality,Nutritional Consultant,104394,On-site,65,44,12
31,Master's,Male,54,18,85,14,86,50,42,63,Arts and Performance,Stage Designer,94237,Hybrid,84,53,69
45,Professional Degree,Male,47,69,60,77,43,77,35,10,Media and Communication,Public Relations Specialist,92876,On-site,70,33,43
43,Bachelor's,Female,26,84,77,69,75,19,64,65,Social Sciences,International Relations Specialist,98336,Flexible,78,79,67
47,Bachelor's,Female,38,57,39,47,0,33,41,42,Creative,Graphic Designer,62527,Remote,92,53,26
32,PhD,Female,76,75,38,61,24,29,52,60,Social Sciences,Cultural Researcher,90267,Remote,72,92,47
50,Bachelor's,Female,77,58,66,57,71,67,44,52,Creative,Film Director,69766,Remote,77,63,53
30,Associate Degree,Non-Binary,38,48,55,75,64,72,85,38,Finance and Economics,Corporate Treasurer,92677,On-site,88,74,65
36,Bachelor's,Male,63,22,50,64,71,33,48,29,Culinary and Hospitality,Event Planner,116065,Travel-based,88,52,56
37,PhD,Female,37,47,100,22,26,54,64,67,Media and Communication,Social Media Manager,78412,Hybrid,35,66,20
39,Bachelor's,Female,59,47,26,34,18,49,100,48,Technology,Machine Learning Engineer,50487,On-site,48,52,54
29,Bachelor's,Female,68,57,47,65,84,65,30,12,Business,Digital Marketer,62266,Remote,86,25,67
30,PhD,Female,58,64,34,66,37,36,66,63,Media and Communication,Media Strategist,73478,Hybrid,84,69,28
50,Master's,Non-Binary,86,41,37,85,62,41,53,25,Healthcare,Psychiatrist,131202,On-site,93,80,78
32,Bachelor's,Non-Binary,68,79,69,67,54,32,87,49,Healthcare,Nutritionist,112253,Hybrid,93,84,100
26,PhD,Female,35,75,39,23,17,46,45,70,Social Sciences,Policy Analyst,48622,Remote,46,40,78
36,Bachelor's,Male,51,62,26,57,16,6,87,71,Culinary and Hospitality,Catering Manager,71258,Remote,79,60,10
30,High School,Female,81,63,32,18,67,67,65,84,Business,Digital Marketer,107934,Hybrid,95,69,52
42,Bachelor's,Male,51,69,52,40,52,44,48,33,Social Sciences,Urban Planner,106316,Remote,80,80,54
26,Master's,Male,76,45,43,54,55,100,62,40,Engineering,Electrical Engineer,70540,Hybrid,59,98,17
35,Bachelor's,Male,57,59,58,63,49,76,18,0,Creative,Fashion Designer,136520,Remote,91,75,43
41,Bachelor's,Male,40,64,42,51,43,55,45,70,Media and Communication,Copywriter,71578,Remote,45,69,40
20,Master's,Female,69,43,26,59,36,49,24,63,Arts and Performance,Arts Administrator,72170,On-site,75,62,60
20,Bachelor's,Male,95,58,84,45,29,40,49,48,Science,Forensic Scientist,66857,Remote,84,97,33
20,Professional Degree,Female,49,53,59,57,90,32,37,62,Science,Zoologist,42845,Hybrid,100,65,57
40,Master's,Male,18,62,28,69,24,70,26,31,Media and Communication,Journalist,63367,Remote,39,63,38
32,Associate Degree,Male,68,88,67,64,16,49,37,20,Technology,Blockchain Developer,68280,Travel-based,40,35,63
29,Professional Degree,Female,56,37,26,32,68,8,45,48,Creative,Video Game Designer,114503,Remote,90,45,31
36,Bachelor's,Male,39,52,58,48,59,43,0,46,Business,Investment Banker,95310,On-site,65,74,51
33,PhD,Female,53,89,67,64,54,23,75,68,Engineering,Software Engineering Manager,101377,Remote,65,67,49
42,Master's,Male,33,12,26,53,44,47,24,56,Business,Business Intelligence Analyst,42557,On-site,53,39,60
25,Master's,Female,61,41,58,73,86,55,28,75,Science,Marine Biologist,124559,On-site,77,90,49
20,Master's,Male,37,40,43,31,31,77,15,36,Media and Communication,Broadcast Journalist,97010,Remote,62,72,39
39,Master's,Female,29,13,42,14,49,27,28,79,Culinary and Hospitality,Restaurant Manager,83551,Hybrid,67,65,19
20,Bachelor's,Male,57,69,42,44,39,58,45,46,Social Sciences,Sociologist,77212,Flexible,84,44,91
38,Bachelor's,Female,0,43,27,70,25,60,70,56,Arts and Performance,Sound Engineer,81295,Travel-based,43,60,42
37,Associate Degree,Female,71,33,50,48,56,39,20,28,Technology,AI Research Scientist,96930,Travel-based,70,14,66
28,Bachelor's,Male,47,49,40,40,76,25,70,18,Media and Communication,Public Relations Specialist,98962,On-site,57,92,2
33,PhD,Non-Binary,47,62,11,49,54,37,48,37,Engineering,Structural Engineer,91509,Remote,83,71,57
47,Bachelor's,Female,30,94,58,40,96,42,26,40,Arts and Performance,Actor,111616,Remote,72,49,72
36,PhD,Female,73,44,46,36,42,61,65,84,Arts and Performance,Choreographer,96915,On-site,61,58,45
29,Associate Degree,Female,56,42,44,62,56,90,68,35,Science,Environmental Scientist,55810,Remote,95,52,23
32,Associate Degree,Female,22,11,21,34,50,42,64,31,Healthcare,Pharmacist,98749,Flexible,60,85,47
45,Professional Degree,Female,23,25,31,74,45,31,46,53,Media and Communication,Journalist,75917,On-site,60,38,53
22,PhD,Female,68,41,0,57,58,69,58,53,Arts and Performance,Stage Designer,105276,Hybrid,67,50,40
21,Master's,Non-Binary,43,49,10,65,50,23,44,48,Technology,DevOps Engineer,117343,Flexible,78,79,68
28,Master's,Male,32,36,49,49,71,45,10,26,Science,Geneticist,828,Remote,100,40,30
20,PhD,Female,39,63,62,21,74,71,46,51,Arts and Performance,Arts Administrator,91785,Flexible,60,42,55
41,Professional Degree,Male,57,100,32,77,33,61,0,40,Creative,Graphic Designer,12346,Hybrid,62,69,55
50,Professional Degree,Female,71,69,97,15,42,51,35,52,Media and Communication,Public Relations Specialist,18881,Hybrid,84,86,52
35,Master's,Female,6,38,15,44,40,19,55,28,Science,Astronomer,77176,Hybrid,95,86,53
38,PhD,Male,57,49,44,58,80,0,87,30,Arts and Performance,Choreographer,129743,Hybrid,42,64,16
46,Bachelor's,Male,45,47,25,74,47,64,9,32,Finance and Economics,Actuary,95838,Hybrid,57,65,18
27,PhD,Male,60,53,28,72,60,10,44,57,Arts and Performance,Stage Designer,86905,Remote,85,58,0
34,High School,Female,51,70,18,65,57,18,64,86,Science,Marine Biologist,53038,Remote,58,67,61
25,Master's,Female,58,40,38,64,83,48,19,51,Creative,Fashion Designer,75295,Hybrid,88,64,67
42,PhD,Male,44,66,69,28,69,48,45,48,Arts and Performance,Composer,99290,Hybrid,75,85,75
34,Bachelor's,Female,100,36,41,56,32,71,21,36,Media and Communication,Broadcast Journalist,116229,On-site,44,52,30
25,High School,Female,36,67,79,60,24,38,81,51,Technology,Data Scientist,130406,On-site,69,31,94
28,High School,Female,31,76,54,56,24,44,38,33,Healthcare,Physical Therapist,105779,Hybrid,84,69,43
31,Bachelor's,Non-Binary,59,41,34,29,52,35,78,83,Social Sciences,Sociologist,85557,Hybrid,100,69,55
50,Bachelor's,Female,46,46,57,26,14,23,44,31,Engineering,Environmental Engineer,44936,Remote,33,89,21
29,Bachelor's,Male,42,48,49,38,29,58,32,66,Media and Communication,Journalist,141267,Flexible,100,30,35
21,Master's,Male,74,82,71,49,11,52,58,55,Culinary and Hospitality,Sommelier,70485,Hybrid,22,70,34
44,Bachelor's,Male,32,45,55,39,29,55,14,65,Media and Communication,Broadcast Journalist,70179,Remote,50,73,39
31,Master's,Male,46,44,79,15,32,65,91,33,Science,Geologist,73320,Hybrid,70,80,27
28,Bachelor's,Female,42,23,63,32,37,34,35,53,Finance and Economics,Actuary,77648,Flexible,68,61,100
48,Master's,Male,54,48,47,54,69,77,71,59,Culinary and Hospitality,Catering Manager,70766,Remote,84,64,91
47,PhD,Female,71,35,100,83,71,30,70,4,Finance and Economics,Credit Analyst,71524,Hybrid,100,55,52
36,Associate Degree,Female,31,65,58,15,77,52,70,58,Healthcare,Psychiatrist,81977,On-site,76,53,58
41,Professional Degree,Male,53,59,43,39,65,79,40,56,Technology,AI Research Scientist,119381,Travel-based,58,32,86
31,Associate Degree,Female,74,54,63,30,62,47,56,42,Healthcare,Psychologist,67446,Remote,100,56,52
24,Bachelor's,Female,60,56,65,0,16,39,68,45,Education,Online Learning Specialist,59770,On-site,79,54,50
37,PhD,Male,60,80,45,52,30,25,50,52,Media and Communication,Podcast Producer,92631,Remote,100,74,62
32,High School,Male,46,56,26,64,51,52,61,58,Culinary and Hospitality,Nutritional Consultant,132084,Remote,41,68,42
28,Bachelor's,Female,39,36,15,83,63,37,64,47,Healthcare,Doctor/Physician,265517,On-site,57,54,31
25,Master's,Female,69,34,78,36,20,61,41,18,Media and Communication,Broadcast Journalist,25324,Hybrid,84,65,24
50,Master's,Female,42,74,66,63,47,38,57,63,Arts and Performance,Arts Administrator,79320,Hybrid,64,35,44
28,Associate Degree,Female,23,44,44,41,63,23,56,14,Technology,AI Research Scientist,58304,Remote,70,59,5
21,Master's,Female,22,70,18,48,80,53,51,36,Finance and Economics,Securities Trader,25103,Hybrid,90,46,47
37,PhD,Female,15,71,64,59,95,52,81,51,Engineering,Civil Engineer,28440,Hybrid,33,69,39
34,High School,Male,45,26,44,59,76,36,58,85,Business,Human Resources Manager,88042,Travel-based,74,75,35
41,Bachelor's,Female,51,60,70,29,24,62,47,67,Science,Astronomer,59889,Hybrid,67,82,13
25,Associate Degree,Male,41,24,41,31,57,68,58,100,Creative,Animator,82537,On-site,64,79,68
48,Bachelor's,Female,45,51,47,61,68,71,44,54,Engineering,Chemical Process Engineer,31415,Remote,70,67,79
29,Associate Degree,Male,39,33,61,1,47,14,36,46,Creative,Interior Designer,122490,Remote,100,52,64
35,Bachelor's,Female,73,79,40,75,6,56,82,52,Creative,Music Producer,129054,Remote,38,56,46
31,Master's,Male,67,56,74,64,41,62,24,10,Science,Zoologist,60651,Hybrid,73,48,52
36,Bachelor's,Female,13,39,69,60,36,62,85,42,Technology,Data Scientist,133178,Hybrid,47,75,62
50,Bachelor's,Female,72,44,74,61,74,14,42,81,Culinary and Hospitality,Nutritional Consultant,72784,Hybrid,84,100,42
38,Bachelor's,Female,61,7,45,66,3,18,15,63,Creative,Interior Designer,86649,On-site,45,41,26
40,High School,Female,98,43,11,41,60,58,67,38,Education,Museum Educator,103422,On-site,44,54,1
37,PhD,Female,33,48,69,41,35,50,37,31,Media and Communication,Public Relations Specialist,104616,On-site,67,97,13
27,Bachelor's,Female,57,51,76,27,40,70,46,61,Creative,Graphic Designer,54166,Remote,63,84,61
47,Master's,Male,53,46,58,24,45,48,48,42,Technology,DevOps Engineer,128808,Remote,26,54,48
42,High School,Female,48,49,42,60,69,12,92,53,Business,Entrepreneur,257870,Travel-based,97,62,22
36,High School,Male,58,41,89,47,73,47,57,57,Culinary and Hospitality,Catering Manager,70778,Hybrid,93,78,65
25,PhD,Male,26,44,58,30,48,22,45,69,Business,Human Resources Manager,96359,On-site,54,43,26
50,Master's,Prefer Not to Say,54,70,24,59,30,46,35,71,Arts and Performance,Sound Engineer,125832,Hybrid,70,66,52
45,Associate Degree,Male,86,53,55,69,79,53,37,67,Social Sciences,Social Worker,105962,Travel-based,74,71,67
38,Master's,Male,64,21,77,59,33,54,76,56,Science,Biologist,171447,On-site,35,45,25
38,Bachelor's,Female,38,71,26,82,47,46,44,38,Science,Environmental Scientist,33348,Remote,55,53,64
50,Bachelor's,Male,48,39,25,27,70,34,66,30,Finance and Economics,Economist,62390,Travel-based,72,57,49
20,Bachelor's,Male,48,59,33,54,53,54,23,52,Social Sciences,Urban Planner,84884,On-site,74,26,37
23,Master's,Male,44,66,30,7,61,31,37,53,Arts and Performance,Dancer,77745,Travel-based,71,62,70
20,Professional Degree,Female,63,36,100,46,58,63,48,59,Arts and Performance,Actor,47702,Travel-based,44,100,35
45,PhD,Female,40,97,65,37,34,41,9,56,Media and Communication,Public Relations Specialist,38453,Remote,52,74,31
45,Bachelor's,Male,66,54,83,16,46,61,66,66,Engineering,Robotics Engineer,107835,Remote,47,74,76
30,Associate Degree,Female,16,70,74,26,42,15,48,33,Business,Startup Founder,141455,Remote,86,37,50
32,Professional Degree,Male,49,88,75,44,60,30,50,65,Social Sciences,Social Worker,115053,Hybrid,73,80,37
32,Master's,Female,88,43,28,37,65,30,67,33,Education,Educational Consultant,58525,Hybrid,30,58,94
49,Master's,Male,22,34,65,64,3,43,67,91,Business,Management Consultant,65140,Hybrid,91,35,71
25,Professional Degree,Female,45,58,69,61,41,40,86,56,Arts and Performance,Theatre Director,103685,Remote,43,50,61
40,High School,Male,20,37,30,47,41,46,12,48,Healthcare,Doctor/Physician,253011,On-site,65,38,96
42,Associate Degree,Female,76,26,61,69,54,53,40,44,Business,Investment Banker,111642,Remote,53,58,41
44,PhD,Female,77,57,14,62,37,39,57,72,Healthcare,Veterinarian,144752,Hybrid,48,27,51
33,High School,Male,38,64,25,19,67,55,26,49,Arts and Performance,Choreographer,93349,Travel-based,56,34,68
29,Bachelor's,Male,41,28,77,73,42,44,28,47,Culinary and Hospitality,Catering Manager,58116,Hybrid,36,70,74
25,Bachelor's,Male,61,49,70,51,82,18,0,77,Culinary and Hospitality,Food Scientist,89032,Travel-based,77,44,53
30,Professional Degree,Male,31,29,62,65,45,38,61,20,Social Sciences,Urban Planner,80216,Remote,87,99,59
41,High School,Female,55,12,58,79,39,69,67,56,Creative,Graphic Designer,84975,Remote,100,63,61
45,PhD,Female,64,71,64,8,48,38,57,39,Technology,Blockchain Developer,135930,Travel-based,100,72,42
21,Bachelor's,Female,56,41,55,62,24,31,33,39,Arts and Performance,Theatre Director,91675,Travel-based,53,50,66
32,Bachelor's,Prefer Not to Say,3,90,50,70,66,49,2,39,Education,Curriculum Developer,116211,Hybrid,70,67,51
50,Bachelor's,Male,29,60,29,68,35,15,20,41,Science,Physicist,98407,Travel-based,69,91,65
24,Bachelor's,Female,31,39,37,37,31,50,35,73,Technology,User Experience Designer,99567,Remote,39,82,62
50,Master's,Female,44,66,67,29,37,58,19,48,Media and Communication,Media Strategist,126256,Hybrid,70,12,50
20,Professional Degree,Female,39,62,53,59,47,35,53,51,Technology,Cybersecurity Analyst,86462,Flexible,67,81,41
50,Bachelor's,Male,35,42,31,76,78,46,74,57,Technology,User Experience Designer,89841,Hybrid,100,74,30
50,Bachelor's,Female,66,69,99,66,37,74,49,60,Healthcare,Psychologist,94255,Hybrid,89,62,36
42,Bachelor's,Female,60,46,17,49,61,7,49,48,Media and Communication,Journalist,108326,On-site,100,42,65
35,Associate Degree,Female,76,34,43,64,37,47,67,50,Culinary and Hospitality,Nutritional Consultant,76798,Hybrid,82,42,38
32,Bachelor's,Female,1,66,63,29,27,77,45,65,Social Sciences,Human Rights Advocate,57314,Flexible,78,46,63
39,Master's,Female,9,52,36,72,55,45,80,12,Technology,Blockchain Developer,73309,Remote,88,99,88
40,Bachelor's,Male,0,48,25,23,44,45,74,35,Creative,Graphic Designer,66989,Hybrid,60,52,77
44,PhD,Female,61,52,68,25,38,90,0,37,Media and Communication,Journalist,98148,Remote,92,36,51
31,Bachelor's,Male,32,21,51,93,38,49,53,42,Business,Financial Analyst,132048,Hybrid,89,88,74
28,PhD,Male,27,36,56,44,61,52,23,75,Media and Communication,Journalist,54572,Hybrid,52,50,66
26,Bachelor's,Male,21,22,58,31,57,52,68,30,Arts and Performance,Opera Singer,2727,Hybrid,74,81,32
26,Master's,Male,80,56,48,54,40,84,39,59,Science,Marine Biologist,47889,Hybrid,75,44,50
36,Bachelor's,Male,61,59,51,91,50,51,48,54,Science,Geneticist,107562,Remote,69,54,43
46,High School,Female,12,80,68,49,48,63,29,51,Technology,Network Security Specialist,95439,On-site,43,63,9
46,Master's,Female,77,80,44,43,10,64,20,21,Culinary and Hospitality,Sommelier,56148,On-site,71,54,28
44,Master's,Female,61,54,73,53,39,35,61,28,Creative,Film Director,59861,Remote,53,67,41
45,Bachelor's,Male,33,44,41,71,81,68,42,57,Technology,Cybersecurity Analyst,32287,Hybrid,75,42,54
34,High School,Female,59,50,67,35,65,59,72,73,Science,Astronomer,50029,Remote,93,41,60
26,High School,Male,42,54,65,57,65,50,55,15,Education,University Professor,72087,On-site,100,81,44
20,High School,Female,52,5,57,36,0,72,24,69,Finance and Economics,Securities Trader,16492,Flexible,78,41,41
29,Bachelor's,Female,43,48,17,64,39,96,40,42,Media and Communication,Media Strategist,111331,Flexible,91,33,18
29,High School,Female,52,75,56,60,52,37,58,87,Science,Astronomer,90441,Hybrid,58,50,67
44,High School,Male,66,62,85,87,51,48,21,81,Media and Communication,Public Relations Specialist,56997,Hybrid,51,59,38
50,Bachelor's,Female,68,20,21,52,30,45,81,71,Media and Communication,Podcast Producer,92371,On-site,93,26,30
27,Bachelor's,Female,57,41,85,62,46,20,29,0,Technology,Blockchain Developer,106494,Remote,58,65,63
48,PhD,Female,82,37,74,53,39,75,26,20,Education,Teacher,18201,On-site,80,52,45
27,Master's,Female,24,63,41,71,59,46,72,58,Social Sciences,Social Worker,101328,Remote,48,60,60
50,Associate Degree,Male,51,52,15,53,53,27,29,32,Business,Supply Chain Manager,78311,Travel-based,76,54,54
42,Professional Degree,Male,61,57,56,56,47,37,48,63,Engineering,Structural Engineer,70744,Hybrid,66,73,60
33,Professional Degree,Male,38,68,13,90,91,51,58,67,Education,Special Education Specialist,124572,On-site,34,45,61
